Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","158","Niger","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","334401","Fc","Calculated data"
"TI","Trade Indices","158","Niger","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","52298","Fc","Calculated data"
"TI","Trade Indices","158","Niger","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","298077","Fc","Calculated data"
"TI","Trade Indices","158","Niger","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","49563","Fc","Calculated data"
"TI","Trade Indices","159","Nigeria","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","3619335","Fc","Calculated data"
"TI","Trade Indices","159","Nigeria","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","1096950","Fc","Calculated data"
"TI","Trade Indices","159","Nigeria","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","3337585","Fc","Calculated data"
"TI","Trade Indices","159","Nigeria","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","751111","Fc","Calculated data"
"TI","Trade Indices","160","Niue","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2234","Fc","Calculated data"
"TI","Trade Indices","160","Niue","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","208","Fc","Calculated data"
"TI","Trade Indices","160","Niue","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","1780","Fc","Calculated data"
"TI","Trade Indices","160","Niue","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","208","Fc","Calculated data"
"TI","Trade Indices","162","Norway","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","3619745","Fc","Calculated data"
"TI","Trade Indices","162","Norway","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","462091","Fc","Calculated data"
"TI","Trade Indices","162","Norway","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","2526644","Fc","Calculated data"
"TI","Trade Indices","162","Norway","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","266581","Fc","Calculated data"
"TI","Trade Indices","165","Pakistan","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","5126052","Fc","Calculated data"
"TI","Trade Indices","165","Pakistan","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2752586","Fc","Calculated data"
"TI","Trade Indices","165","Pakistan","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","3674915","Fc","Calculated data"
"TI","Trade Indices","165","Pakistan","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","2513312","Fc","Calculated data"
"TI","Trade Indices","299","Palestine","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","1002380","Fc","Calculated data"
"TI","Trade Indices","299","Palestine","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","263032","Fc","Calculated data"
"TI","Trade Indices","299","Palestine","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","643607","Fc","Calculated data"
"TI","Trade Indices","299","Palestine","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","250241","Fc","Calculated data"
"TI","Trade Indices","166","Panama","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","779820","Fc","Calculated data"
"TI","Trade Indices","166","Panama","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","686962","Fc","Calculated data"
"TI","Trade Indices","166","Panama","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","566838","Fc","Calculated data"
"TI","Trade Indices","166","Panama","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","635659","Fc","Calculated data"
"TI","Trade Indices","168","Papua New Guinea","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","512066","Fc","Calculated data"
"TI","Trade Indices","168","Papua New Guinea","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","610868","Fc","Calculated data"
"TI","Trade Indices","168","Papua New Guinea","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","460336","Fc","Calculated data"
"TI","Trade Indices","168","Papua New Guinea","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","445942","Fc","Calculated data"
"TI","Trade Indices","169","Paraguay","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","487547","Fc","Calculated data"
"TI","Trade Indices","169","Paraguay","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2296518","Fc","Calculated data"
"TI","Trade Indices","169","Paraguay","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","280928","Fc","Calculated data"
"TI","Trade Indices","169","Paraguay","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","1973948","Fc","Calculated data"
"TI","Trade Indices","170","Peru","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2004194","Fc","Calculated data"
"TI","Trade Indices","170","Peru","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","1885120","Fc","Calculated data"
"TI","Trade Indices","170","Peru","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","1590030","Fc","Calculated data"
"TI","Trade Indices","170","Peru","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","1382710","Fc","Calculated data"
"TI","Trade Indices","171","Philippines","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","4511170","Fc","Calculated data"
"TI","Trade Indices","171","Philippines","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","3866119","Fc","Calculated data"
"TI","Trade Indices","171","Philippines","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","3206043","Fc","Calculated data"
"TI","Trade Indices","171","Philippines","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","3382826","Fc","Calculated data"
"TI","Trade Indices","173","Poland","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","8978645","Fc","Calculated data"
"TI","Trade Indices","173","Poland","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","8590038","Fc","Calculated data"
"TI","Trade Indices","173","Poland","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","5700053","Fc","Calculated data"
"TI","Trade Indices","173","Poland","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","6919639","Fc","Calculated data"
"TI","Trade Indices","174","Portugal","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","6500043","Fc","Calculated data"
"TI","Trade Indices","174","Portugal","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","3087924","Fc","Calculated data"
"TI","Trade Indices","174","Portugal","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","5178641","Fc","Calculated data"
"TI","Trade Indices","174","Portugal","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","1791734","Fc","Calculated data"
"TI","Trade Indices","117","Republic of Korea","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","16317106","Fc","Calculated data"
"TI","Trade Indices","117","Republic of Korea","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2090171","Fc","Calculated data"
"TI","Trade Indices","117","Republic of Korea","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","12880273","Fc","Calculated data"
"TI","Trade Indices","117","Republic of Korea","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","1313792","Fc","Calculated data"
"TI","Trade Indices","146","Republic of Moldova","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","373511","Fc","Calculated data"
"TI","Trade Indices","146","Republic of Moldova","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","428662","Fc","Calculated data"
"TI","Trade Indices","146","Republic of Moldova","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","263957","Fc","Calculated data"
"TI","Trade Indices","146","Republic of Moldova","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","263263","Fc","Calculated data"
"TI","Trade Indices","183","Romania","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","2771475","Fc","Calculated data"
"TI","Trade Indices","183","Romania","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","802247","Fc","Calculated data"
"TI","Trade Indices","183","Romania","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","2241515","Fc","Calculated data"
"TI","Trade Indices","183","Romania","94","Export Value Base Quantity","1982","Food Excl Fish","2017","2017","1000 $","598403","Fc","Calculated data"
"TI","Trade Indices","185","Russian Federation","64","Import Value Base Period Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","25400743","Fc","Calculated data"
"TI","Trade Indices","185","Russian Federation","94","Export Value Base Quantity","1882","Agricult.Products, Total","2017","2017","1000 $","3533170","Fc","Calculated data"
"TI","Trade Indices","185","Russian Federation","64","Import Value Base Period Quantity","1982","Food Excl Fish","2017","2017","1000 $","19213638","Fc","Calculated data"
